GeneID	GSM8035914	GSM8035915	GSM8035916	GSM8035917	GSM8035918	GSM8035919	GSM8035920	GSM8035921	GSM8035922	GSM8035923	GSM8035924	GSM8035925	GSM8035926	GSM8035927	GSM8035928	GSM8035929	GSM8035930
83443	3471	3080	3959	3158	2930	4031	3750	3775	4327	50	334	419	209	1162	1226	333	1177
105378036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8676	1838	1635	1907	2538	2672	3473	7768	10060	10104	362	433	1226	849	2030	1178	998	1508
100189313	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
7402	2250	1901	2307	1303	1202	1826	655	1376	1180	14	22	303	196	46	41	47	53
106635530	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100189422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7957	508	532	675	606	574	757	493	691	732	13	5	117	103	39	26	59	37
100507557	118	141	177	68	127	163	226	367	427	3	0	10	11	1	2	2	4
105378039	3	4	29	0	0	0	0	12	10	1	0	2	0	1	0	0	0
84085	2214	2601	3085	1706	2084	2138	1635	3020	2915	64	15	321	255	109	73	93	69
257218	1620	1433	1851	596	829	1265	1376	1913	1961	25	23	216	137	45	46	41	85
2911	321	212	379	410	284	370	251	315	289	0	0	21	17	0	1	4	1
10981	15000	14383	21001	23540	19825	24826	11258	12278	13950	177	457	1456	809	2596	1721	1457	2496
101928661	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
79747	2	7	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
105378041	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378040	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
729176	169	140	201	121	144	146	84	104	188	2	7	27	25	27	13	15	16
729178	46	55	66	56	42	46	56	134	168	6	4	67	38	23	14	7	17
106182249	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0
134957	1577	1786	1941	2244	2150	2433	904	2897	2704	404	66	1533	1349	519	326	307	384
105378043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
389432	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0
105378044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23328	4352	3261	4032	3371	2751	4075	1923	4360	5516	24	16	1146	731	76	55	88	139
10090	184	219	253	184	207	215	354	269	423	0	0	9	4	1	1	2	0
107986659	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100128176	4	7	4	5	7	7	1	7	9	0	0	0	0	0	0	0	0
105378047	4	7	4	4	4	3	0	6	0	0	0	1	1	0	0	0	0
105378046	3	4	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0
23118	1288	1609	1785	1510	1192	1461	1321	1941	1876	58	68	216	240	485	347	161	258
105378049	7	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
387082	21	17	28	15	21	16	13	27	26	2	2	6	5	5	12	0	4
340152	165	157	147	205	153	306	9	66	45	0	0	3	0	0	1	1	0
85313	2366	2758	2918	2127	2445	2604	2422	4317	4817	44	47	309	203	317	150	222	282
116254	2312	2521	2671	2864	3171	3921	3506	5117	5631	45	58	203	159	324	191	148	191
645958	44	45	65	60	49	45	44	81	112	0	1	6	3	9	8	4	11
11104	1351	1262	1621	1176	1359	1457	1256	1967	1954	43	64	196	136	367	213	180	322
9113	3069	2849	3737	1599	1649	2343	1775	3411	4500	49	3	397	279	79	46	52	41
105378050	3	4	8	2	2	1	0	9	11	0	0	1	0	0	0	0	3
645967	42	48	61	28	41	56	68	73	89	0	1	10	5	6	3	2	1
348995	1089	1118	1232	638	632	782	816	955	1376	16	7	114	78	68	44	58	60
5110	7298	7447	7727	6094	6348	7311	6910	9080	10035	289	606	1260	875	2343	1816	1462	2554
107986660	16	18	34	18	7	18	53	22	25	2	4	8	4	7	3	3	3
84918	611	629	768	279	389	327	529	664	724	1	2	6	6	4	0	1	0
100652739	43	25	47	20	18	30	55	33	35	0	0	2	0	1	0	1	0
135250	2	3	10	4	3	3	4	7	2	0	0	0	0	0	0	0	1
353091	7	2	7	1	1	2	1	8	9	0	0	0	0	0	0	0	0
105378052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80328	69	48	53	71	71	69	94	143	138	0	0	0	1	0	1	0	0
80329	21	42	51	8	42	22	26	102	82	0	1	1	0	2	2	0	2
646024	1	2	0	1	6	0	0	1	2	0	0	0	0	0	0	0	0
154064	3	1	3	2	2	3	4	5	6	0	0	0	0	0	1	0	0
79465	48	53	55	62	20	73	0	55	185	0	0	1	1	0	0	0	0
81706	236	297	318	399	347	409	704	1294	1412	6	8	61	29	66	27	40	37
105378054	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
389434	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
57480	607	614	900	247	224	244	495	552	445	3	3	87	33	13	9	22	33
25902	5861	5192	5956	6333	6282	7705	3770	5310	5835	229	149	1442	1022	1125	772	559	798
113219461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102723831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9590	1944	2265	2956	1312	1473	1334	9213	9953	11510	35	16	113	87	100	104	98	133
57621	1461	1432	1693	1095	933	1298	1020	1601	1646	23	14	162	140	143	107	114	119
55005	993	982	1242	603	618	852	1225	2093	2306	7	6	69	39	22	17	21	45
79624	5374	5488	5516	4428	4835	5003	3066	3750	5009	55	42	532	331	214	148	262	280
80129	641	538	629	281	405	438	378	641	666	1	2	26	6	10	2	2	6
107986528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2099	0	1	0	2	0	0	0	9	0	0	0	0	0	0	0	0	0
107986529	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
23345	953	831	1093	658	721	1034	1191	1985	1833	11	2	80	23	5	16	13	25
100505475	3	2	7	6	8	3	0	13	3	0	0	0	0	0	0	0	0
105378061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
80177	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3
7432	0	2	2	0	1	1	0	0	8	0	0	0	0	0	0	0	0
105378065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26271	696	705	845	345	353	404	646	511	878	23	25	71	88	96	61	85	135
54516	1361	1401	1822	1201	1214	1483	1101	2356	2646	36	29	208	156	130	67	110	99
26575	166	206	258	80	46	74	219	194	253	0	0	4	0	1	0	0	0
105378066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107986661	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
4988	38	22	29	13	13	22	0	9	18	2	2	6	2	2	1	2	4
26034	826	681	607	451	604	781	0	261	417	41	13	269	105	64	61	69	70
105378067	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
154043	66	85	116	44	22	44	38	146	113	1	0	17	3	2	1	1	1
101928868	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0
22828	2355	2302	2698	1253	1274	1786	1222	2915	2948	36	9	245	191	69	45	30	43
100422821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26230	2766	2488	3273	532	669	709	2662	2775	4065	20	13	62	40	135	54	48	54
51106	1322	1188	1540	607	538	734	1023	1583	1925	11	12	105	39	103	52	53	66
49861	1	0	2	0	0	0	0	8	8	0	0	1	0	0	0	0	0
50508	4	4	4	5	0	1	0	2	1	0	0	1	0	0	0	0	2
105378068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101928923	0	2	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0
100302259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107986662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109617011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57492	4634	4073	5644	2406	2086	3219	3698	5874	6300	54	18	426	271	122	87	74	90
115308161	28	14	25	8	10	4	15	20	27	0	0	2	1	1	2	0	1
100616154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378075	0	8	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2
729515	1365	1363	1565	1037	1193	1462	1375	2352	2814	15	40	111	74	143	115	79	135
112267967	0	0	2	0	0	2	5	1	10	1	0	0	0	0	0	0	1
105378076	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
79683	374	284	398	301	230	345	302	490	409	0	1	17	7	11	6	11	5
100500899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378077	0	1	3	3	1	1	0	0	1	0	1	0	0	0	0	0	2
107986663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51429	3026	2737	3330	4434	4358	5497	7588	11089	11571	56	30	521	250	129	113	139	135
105378078	0	2	2	1	0	1	0	7	0	0	0	0	0	1	0	0	0
8871	669	650	890	617	604	551	1231	1680	1799	9	6	144	113	45	44	41	95
100874300	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
84947	1503	1312	1853	1324	1243	1465	1157	1605	1697	5	7	122	64	33	17	30	42
404672	2386	2200	2385	2048	1857	2429	2109	2475	2575	12	30	95	59	192	200	70	218
56995	5830	5871	7213	5306	5065	5796	4459	5868	6091	66	48	728	489	220	177	166	168
109623462	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
57583	4307	4194	5522	2532	2725	3599	3519	5794	6624	33	9	356	149	36	28	28	31
102465694	3	1	3	5	1	3	2	4	3	0	0	3	1	0	1	0	0
6993	6381	6250	7637	3317	3407	4176	4651	5745	6273	43	163	222	142	776	580	191	414
94120	876	878	1244	724	775	864	1365	1557	1599	6	7	67	46	26	24	28	25
100500851	12	13	20	8	12	12	26	47	42	1	0	1	1	1	0	0	1
7430	8302	7725	10438	6126	6070	5996	8296	8396	9549	45	31	632	357	213	145	206	206
101409257	275	226	302	174	149	149	214	206	227	2	1	13	6	0	5	8	11
202459	10	10	15	29	14	31	10	9	14	0	0	0	0	0	0	0	1
100130967	2	13	20	7	7	25	23	9	13	0	0	0	0	2	1	0	2
83861	750	802	971	706	766	1353	1118	1343	1720	15	13	129	98	84	86	43	42
105378083	272	262	272	155	223	249	59	177	200	16	5	75	36	39	15	29	28
117289	3210	3342	2952	2814	3519	4510	500	1128	1236	86	52	492	305	373	244	250	270
107986664	4	14	23	4	0	7	18	26	46	0	0	2	2	0	0	1	1
112267968	38	30	54	18	16	26	0	3	0	0	0	0	1	0	0	0	1
101929122	0	1	3	2	4	3	32	53	31	0	0	0	0	0	0	0	0
84624	22	16	30	14	44	22	243	257	265	0	0	0	0	0	0	0	0
105378084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102724053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101929142	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
105378085	8	4	3	0	0	6	0	12	17	1	1	1	4	0	2	0	3
6648	25100	25010	26648	73770	70674	90037	183816	245074	257319	425	1038	4236	3163	4141	2877	1565	3217
9589	4879	4593	5427	3857	3755	4455	5586	8499	8870	92	126	764	552	716	571	501	725
100129518	74	89	96	93	87	133	87	78	93	1	0	12	10	8	6	8	11
39	3191	3517	3638	3793	3864	5059	2267	3739	4174	46	59	516	354	372	247	331	566
6950	13865	13639	15016	9998	9369	11334	9783	14479	16466	177	195	1481	1040	1058	674	873	1176
677806	4	7	4	3	5	11	0	8	11	0	0	1	3	0	0	0	0
677812	12	11	16	2	10	12	0	13	14	1	0	6	4	0	1	0	0
29074	3335	3099	3687	2582	2620	3529	2644	3047	3321	19	95	348	160	438	311	205	437
154197	28	0	5	0	9	0	41	20	30	0	0	1	0	0	1	0	0
4142	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1
3482	9657	8826	11175	14278	13222	18168	11205	16641	19147	169	48	1707	933	313	208	103	124
100271873	0	2	0	0	0	1	1	4	0	0	0	0	1	3	1	0	0
729603	23	19	22	40	20	17	3	70	33	1	2	9	8	4	14	3	4
6580	11	5	8	9	11	20	14	28	14	0	2	1	0	2	2	0	2
6582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6581	0	2	3	0	0	3	127	0	0	0	0	0	0	2	0	0	0
80350	7	5	5	2	0	0	4	2	0	0	0	0	0	0	0	0	0
4018	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5340	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
105378091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112267969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378093	2	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0
102724087	0	7	4	3	1	0	0	12	11	0	0	0	0	0	0	0	1
4216	1740	1542	2220	1068	1095	1398	1717	2112	1992	12	7	222	173	33	28	36	33
56895	1740	1346	2110	601	610	844	675	1839	2136	3	1	33	17	12	5	9	13
79992	111	121	135	39	76	58	21	456	366	0	1	4	4	1	1	0	0
105378094	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5071	58	71	83	22	56	82	75	223	192	0	1	2	3	0	0	0	0
105378098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105369171	3	0	4	1	0	0	0	7	3	1	0	0	0	0	0	0	0
135138	40	41	43	7	2	14	0	78	40	0	0	2	1	1	0	2	3
101929239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
729658	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
105378095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
285796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
401282	10	7	12	0	1	10	0	5	1	0	0	0	0	0	0	0	0
105378099	12	6	4	0	3	2	13	2	4	0	0	0	0	1	0	0	0
105378100	9	4	5	8	8	5	12	9	10	0	0	2	1	6	2	1	2
100526820	63	42	64	29	12	17	67	90	73	0	4	2	2	3	4	3	2
9444	17578	17384	21946	12599	13134	16891	11462	20458	20385	225	106	1394	972	574	405	290	291
102724152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107986666	2	4	4	1	1	17	0	3	0	0	0	0	0	0	0	0	0
105378105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378104	3	0	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0
105378102	0	0	1	1	0	0	0	1	4	0	0	0	0	0	0	0	0
105378106	5	8	10	2	1	0	24	8	3	0	0	0	0	0	0	0	0
105378110	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105379712	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0
107986667	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
105378111	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168090	11	6	12	6	0	1	0	0	0	0	0	0	0	1	0	0	0
105378113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10846	253	248	247	24	58	86	114	290	237	0	0	1	1	0	0	0	0
105378116	6	9	9	1	0	2	9	6	14	0	0	0	0	0	0	0	0
105378115	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
105378114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90632	10	1	18	0	0	2	0	0	2	0	0	0	0	0	0	0	0
441177	3	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0
105378117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
729681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6862	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	0
101929297	9	7	6	13	4	13	0	8	4	1	0	2	1	16	7	1	8
107986668	44	53	74	113	74	98	16	45	36	6	11	20	8	63	48	14	26
105378118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
285800	3	2	7	2	1	10	0	13	7	0	0	0	0	0	1	0	0
107986669	3	1	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0
113402	4836	4649	5153	5294	5583	6568	3984	5798	5798	244	986	1136	633	3340	2373	977	2345
100289495	38	26	49	21	31	22	129	143	371	3	11	27	18	60	57	33	40
51660	2020	2006	2458	1848	2059	2367	2352	2750	2848	22	77	133	97	442	254	108	241
6196	2934	2644	3294	1137	1024	1445	2963	3215	3955	2	2	88	32	21	11	10	22
100874353	19	3	5	0	2	7	0	11	4	0	0	1	0	0	0	0	0
100302141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107986671	5	7	1	1	0	0	0	6	0	0	0	0	0	0	0	0	0
100861523	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
8635	12124	11878	16599	7156	7860	9683	1799	2662	2831	144	353	1708	784	1402	983	805	1370
105378120	6	1	4	0	0	7	2	0	3	0	0	4	1	2	0	2	2
100500857	0	1	0	0	1	0	0	0	4	0	0	1	0	1	0	1	1
11116	1505	1322	1702	964	925	1101	765	1269	1432	16	25	179	110	73	42	64	108
1235	436	407	471	387	506	508	58	39	20	0	0	4	2	0	0	0	3
105378122	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107986672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112267970	51	59	67	46	67	87	8	5	3	0	0	1	1	0	0	0	0
401285	0	0	2	1	0	1	0	1	2	0	0	0	0	0	0	0	0
2853	25	19	17	24	42	30	0	4	1	0	0	19	3	0	0	1	2
105378123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112590798	2	2	6	1	0	2	0	1	0	0	0	0	0	0	0	0	1
102724220	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
102725048	2	1	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0
54346	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
83887	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0	0	0
6953	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
105378126	13	0	5	0	2	2	0	8	15	0	0	0	0	0	0	0	0
105378127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107986546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378129	3	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0
105378130	0	3	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0
105378131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
401286	67	56	48	24	16	28	31	47	62	0	0	0	0	0	0	0	0
441178	450	363	510	88	89	107	108	214	297	1	0	0	0	0	0	0	0
105378132	227	210	241	41	61	48	44	76	82	0	0	0	0	0	0	0	0
107986547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26238	1	1	13	1	1	0	0	2	3	0	0	0	0	0	0	0	0
441179	18	7	21	8	4	4	5	12	16	0	0	0	0	0	0	0	0
653483	186	109	188	20	20	69	257	249	408	0	0	1	1	0	0	0	0
4301	3949	2948	4154	1214	1242	2073	1465	2598	2417	14	62	152	79	168	172	52	182
107986673	1	1	0	0	0	6	0	4	0	1	0	0	0	0	3	0	0
100128124	1	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0
100505879	8	1	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0
3834	0	2	7	3	2	7	0	3	3	0	0	0	0	0	0	0	0
105378135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79981	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
107986548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378137	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101929420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168002	72	44	150	3	8	4	0	38	52	0	0	0	0	0	2	0	0
105378138	23	15	40	0	4	0	0	1	9	0	0	0	0	0	0	0	2
105378139	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
107986549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
